TrapID,Site,Pair_number,Treatment,Plot_number,trap,Date_installed,Collection_date,Days,Analyzer,Notes,Salticidae,Staphylinidae,Entomobryomorpha,Poduromorpha,Symphypleona,Oribatida,Mesostigmata,Prostigmata,Formicidae,Amphipods,Cynipidae (hymenopt-asked scott to ID),Mymaridae (hymenoptera),Meinertellidae (thysanura),Typilidae,Mycetophilidae,Phoridae (dipt),Sciaridae,Asteridae,Chrysomelidae (coleop),Dolichpodidae (dip),cecidomyidae (dip),Empididae,Eupelmidae (hymenopt),Kinnaridae (Himiptera),Braconidae (hymenop),Muscidae (dipt),Tephritidae,Diopsidae (Dipt- stalk eyed flies),Drosophilidae (dipt),Faniidae (dipt),Culicidae (dipt- mosquitos),Psychodidae (dipt),Gryllidae (orthoptera),Sphaeroceridae (dipt),Cicadellidae (orthopt),Ceraphronidae (hymenopt),Cixiidae (hemipt),Ichneumonidae (hymenopt),Scelionidae (hymenopt),Reduviidae (Hemipt),Diapriidae (hymenopt),Tetrigidae (orthoptera),Forficulidae (dermopt),Staphynlinidae (coleopt),Diptera family unknown,Anthocoridae,Total,Total Collembola
6GB,Vohiparara,6,G,G6,B,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,9,9,8,0,0,0,0,0,1,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,43,26
6NGA,Vohiparara,6,NG,NG6,A,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,16,18,16,0,0,0,0,0,0,0,0,1,1,11,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,71,50
6NGB,Vohiparara,6,NG,NG6,B,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,5,16,19,2,0,0,0,0,2,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,55,40
7GA,Vohiparara,7,G,G7,A,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,4,9,10,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,35,23
7GB,Vohiparara,7,G,G7,B,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,5,2,1,1,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8
7NGA,Vohiparara,7,NG,NG7,A,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,4,2,1,0,0,0,0,0,1,1,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7
7NGB,Vohiparara,7,NG,NG7,B,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,7,8,12,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,64,27
8GA,Vohiparara,8,G,G8,A,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,10,19,26,0,0,0,1,0,0,1,0,0,0,4,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,55
8GB,Vohiparara,8,G,G8,B,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,15,15,16,1,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,46
8NGA,Vohiparara,8,NG,NG8,A,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,16,11,24,1,0,0,1,0,2,0,0,0,0,7,6,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,78,51
8NGB,Vohiparara,8,NG,NG8,B,6/13/24,6/20/24,7,"Emile, Kerry, Amy",,0,0,16,16,16,1,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,60,48
,,,,,,,,,,Total:,1,2,491,711,503,40,2,10,12,6,36,15,3,18,8,181,66,1,5,37,3,1,1,2,2,35,1,3,27,20,2,40,18,12,2,2,1,6,1,4,5,1,2,1,1,1,,
